UWI,Well Name,Well Number,Well Label,KB Elev,DF Elev,GL Elev,Spud Date,Completion Date,Current Operator,Original Operator,Historical Operator,County,State,SurfLat,SurfLong,BHLatDec,BHLongDec,Zone Name,ZoneAttrName,Value
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-5467.08
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,7.77
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,63.18
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,MEDIAN_WFMP Upper A - GROSS,84.56
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,MEDIAN_WFMP Upper A - NET_DPHI>8,52.09
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,MEDIAN_WFMP Upper A - NET_Res>30,67.85
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,17.92
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0.01
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,0.1
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP Upper A - GROSS,2.83
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP Upper A - NET_DPHI>8,2.91
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,1.37
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,VARIANCE_WFMP Upper A - NET_Res>30,13.71
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-6154.35
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,9.32
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,48.76
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP Upper A - GROSS,141.75
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP Upper A - NET_DPHI>8,94.76
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,86.25
42109326540000,MDJ MINERALS 58-T2-,1H,MDJ MINERALS 58-T2- : 1H,3145,,,4/28/2014,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.82459369,-104.057414,31.83968392,-104.0593613,Grid Samples,MEDIAN_WFMP Upper A - NET_Res>30,100.22
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,1308.8
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0.01
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,40.64
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP Upper A - GROSS,7.21
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP Upper A - NET_DPHI>8,3.41
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,0
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,VARIANCE_WFMP Upper A - NET_Res>30,13.59
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-6014.65
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,8.08
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,145.63
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP Upper A - GROSS,129.67
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP Upper A - NET_DPHI>8,78.99
42109328220000,STATE SRO 45-18X19,1H,STATE SRO 45-18X19 : 1H,3163,,,3/2/2015,,PDC ENERGY INC,,,CULBERSON,TEXAS,31.70663447,-104.086812,31.68399029,-104.0871272,Grid Samples,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,59
