UWI,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD
42389341240000,10.05,111.29,79.19,64.44,60.13,81.49,-8052.04,0.01,2.45,0.61,0.78,1.04,1.2,20.9
42389341440000,9.78,85.81,101.29,68.43,59.49,94.63,-6404.8,0.01,0.08,0.59,0.51,0.03,1.43,58.39
42389341447100,9.78,85.82,101.33,68.48,59.5,94.71,-6405.12,0.01,0.07,0.6,0.52,0.04,1.48,59.4
42389341700100,9.77,62.42,143.9,115.5,110.87,140.84,-7547.8,0.0,0.59,0.0,0.0,0.35,0.08,207.37
42389341760000,11.09,95.03,97.15,76.01,,73.58,-8084.13,0.09,1.31,0.07,8.7,,0.33,70.35
42389341810000,11.12,122.61,89.35,72.91,64.87,89.91,-7750.71,0.01,7.14,1.42,0.76,0.0,0.17,123.53
42389341850000,11.88,88.3,86.85,72.84,,84.68,-8013.17,0.0,50.13,17.8,10.91,,15.77,25.71
42389341870000,10.03,116.47,90.39,62.06,62.13,79.96,-7638.34,0.05,18.78,0.91,3.4,0.9,0.71,1.89
42389341900000,9.53,65.0,91.88,62.6,67.89,85.52,-7920.2,0.03,0.26,0.39,0.36,0.0,1.89,62.0
42389342070000,9.79,86.64,101.25,72.69,,94.62,-7836.26,0.05,0.48,5.76,14.64,,0.34,1418.71
42389342140000,7.94,44.34,92.88,39.8,26.85,92.58,-6847.23,0.18,21.07,0.92,20.03,1.86,0.26,1067.53
42389342290000,9.91,95.08,79.54,55.54,61.9,78.36,-8098.62,0.13,2.39,2.23,12.36,0.06,1.43,84.85
42389342430000,10.06,107.83,76.37,65.69,63.17,82.17,-8066.89,0.03,3.38,0.33,1.81,0.76,2.13,5.48
42389342490000,10.29,105.01,76.91,67.17,64.19,81.64,-8074.51,0.01,3.23,3.07,1.3,0.72,2.3,4.11
42389342510000,10.26,120.14,110.16,76.52,71.57,102.58,-7331.76,0.02,5.26,3.05,0.12,0.13,4.01,90.76
42389342520000,10.2,116.39,110.11,76.04,71.61,101.9,-7324.17,0.02,2.8,3.28,0.1,0.13,4.4,86.25
42389342640000,10.56,91.35,89.09,64.62,,78.32,-8094.35,0.07,7.21,0.85,17.91,,0.37,13.52
42389342800000,10.47,91.7,92.1,64.97,,77.72,-8091.76,0.26,7.49,0.54,44.24,,0.85,22.36
42389342910000,10.06,107.26,81.87,62.32,55.21,78.56,-8063.36,0.01,0.66,0.29,0.02,0.98,0.14,5.12
42389342920000,9.7,116.98,114.59,75.96,73.21,111.54,-7391.67,0.03,6.7,0.29,0.09,0.36,4.62,192.29
42389342930000,9.72,118.96,114.75,76.36,73.21,112.03,-7399.28,0.03,7.84,0.27,0.07,0.38,4.67,197.26
42389342940000,8.74,93.3,92.99,60.12,57.88,89.61,-6136.94,0.0,0.79,3.93,3.98,3.35,3.71,21.68
42389343000000,10.24,114.51,83.54,65.22,58.03,87.7,-7928.96,0.01,0.46,14.98,1.61,0.34,0.41,104.5
42389343130000,9.23,115.0,114.63,78.48,76.06,120.63,-7468.14,0.02,12.94,2.7,0.05,1.47,2.97,51.91
42389343260000,8.72,131.5,84.23,58.57,61.29,66.25,-7582.06,0.0,7.6,2.13,0.49,0.04,2.43,99.26
42389343380000,11.42,125.29,77.12,66.09,59.21,77.03,-7928.68,0.0,10.86,1.35,0.47,0.29,0.09,17.44
42389343670000,9.61,86.68,79.2,50.88,64.55,81.95,-8087.61,0.07,0.14,0.82,7.74,0.17,0.02,0.58
42389343820000,10.89,132.68,76.63,67.84,62.34,85.61,-7955.06,0.0,1.17,0.24,0.25,1.46,2.96,4.18
42389343950000,10.14,106.21,78.58,59.22,58.73,77.38,-8084.0,0.01,9.19,1.3,2.65,0.77,0.13,9.38
42389344070000,9.96,105.2,80.22,62.63,57.85,78.53,-8073.71,0.01,1.08,0.78,0.03,1.31,0.38,10.32
42389344120000,9.53,106.95,98.24,69.43,62.95,92.68,-6918.65,0.0,2.6,0.62,0.38,0.91,0.37,176.94
42389344160100,8.82,84.31,136.37,92.59,82.21,135.26,-7828.24,0.0,2.16,0.01,0.14,0.18,0.01,71.99
42389344240000,11.01,62.46,86.52,63.88,,67.89,-8032.61,0.05,27.52,6.6,1.91,,17.86,7.74
42389344320000,9.24,72.44,86.68,59.06,,85.01,-7961.8,0.03,0.17,0.2,0.48,,2.03,104.62
42389344350000,8.69,85.5,85.27,42.42,,83.02,-8091.93,0.11,0.32,2.39,14.21,,1.22,0.29
42389344430000,9.66,85.91,79.93,51.81,64.8,82.19,-8091.76,0.13,0.25,1.61,14.38,0.11,0.09,2.76
42389344480100,9.17,67.19,137.69,100.49,83.77,137.45,-6814.94,0.0,1.1,0.02,0.4,0.46,0.05,7.85
42389344680000,10.69,88.06,78.62,63.62,,81.59,-8079.15,0.03,0.17,0.04,4.63,,0.01,122.28
42389344800000,8.52,159.35,69.42,43.73,54.72,61.18,-7363.23,0.0,0.97,0.07,5.33,0.01,0.06,529.63
42389344830000,10.68,77.53,82.53,66.73,61.63,80.64,-7814.75,0.02,10.7,0.17,1.15,1.85,0.02,328.93
42389344880000,11.42,97.67,94.96,78.27,,77.17,-8140.04,0.0,0.08,0.87,0.0,,0.89,158.35
42389344980000,10.5,113.72,82.87,62.43,54.74,78.56,-8018.3,0.01,1.35,0.22,0.15,0.29,0.13,35.79
42389345010000,10.74,87.91,78.9,64.07,,81.67,-8083.02,0.03,0.24,0.02,4.32,,0.01,139.73
42389345030000,10.41,112.81,81.58,62.32,54.45,78.64,-8025.01,0.01,1.04,1.5,0.11,0.31,0.12,20.98
42389345210000,11.08,92.85,78.83,68.24,63.12,75.92,-8094.08,0.01,2.21,0.09,0.28,0.32,0.72,5.85
42389345280000,11.86,91.69,80.8,75.55,,83.66,-8064.62,0.0,10.13,18.5,1.14,,3.21,67.4
42389345350000,8.4,95.02,90.16,36.5,68.23,72.57,-7509.15,10.04,396.97,14.39,26.25,0.41,1.27,517.78
42389345690000,9.66,87.24,78.3,51.18,64.49,81.7,-8084.91,0.05,0.19,0.55,6.48,0.18,0.01,3.67
42389345710000,10.43,74.15,139.99,117.03,104.35,137.22,-7619.6,0.0,0.45,0.11,0.01,0.21,0.07,62.48
42389345770100,10.58,140.81,78.46,64.66,65.99,83.48,-7944.15,0.3,5.95,1.76,4.23,1.3,8.78,28.45
42389345820000,9.21,97.23,107.95,75.67,80.08,105.83,-7823.61,0.0,6.54,0.92,1.71,0.03,0.26,147.0
42389345830000,13.05,104.85,95.26,85.05,,99.54,-7979.87,0.0,6.76,0.76,3.85,,5.54,3.25
42389345970000,10.78,80.48,81.93,68.98,66.65,80.28,-7897.08,0.03,33.04,0.91,2.13,0.98,1.29,241.27
42389346010100,9.29,107.93,83.31,63.24,60.74,72.35,-7771.71,0.01,66.67,3.52,0.04,0.01,0.39,45.75
42389346080000,10.07,106.38,81.79,62.39,55.57,78.41,-8067.24,0.01,0.74,0.11,0.01,0.82,0.16,7.88
42389346110000,12.41,92.82,105.54,88.33,,93.85,-7959.12,0.02,30.07,3.17,0.21,,19.7,11.0
42389346260000,11.03,61.02,97.49,68.22,,56.68,-8037.58,0.01,1.45,7.21,3.37,,4.4,2.73
42389346270000,10.95,116.95,77.61,72.89,68.47,92.76,-8010.68,0.01,1.95,0.07,0.9,1.05,0.53,52.01
42389346280000,10.0,57.55,133.09,99.15,78.53,109.56,-6554.32,0.14,36.73,1.24,39.57,0.31,4.51,441.6
42389346290000,9.76,95.57,82.79,64.51,,87.28,-7980.11,0.01,0.98,1.83,0.48,,0.67,28.36
42389346330000,11.77,170.44,100.99,81.86,70.28,99.93,-7325.37,0.05,38.28,20.82,0.39,0.24,6.62,1279.3
42389346350000,11.53,172.85,85.22,74.25,66.48,94.11,-7151.88,0.09,23.36,10.93,10.75,2.6,0.25,3205.57
42389346400000,11.04,112.56,80.54,61.16,57.83,78.26,-8038.51,0.02,1.77,5.26,0.0,1.25,0.04,3.6
42389346410000,10.22,111.28,84.01,59.94,59.14,77.54,-8070.1,0.0,5.48,29.03,0.41,2.95,0.54,29.3
42389346700000,10.75,93.24,95.24,69.93,,76.05,-8089.32,0.19,4.68,0.45,28.57,,0.6,42.77
42389346810000,10.73,80.67,137.06,118.9,103.98,136.86,-7080.35,0.03,4.46,0.11,2.51,3.88,0.61,533.79
42389346900000,11.63,90.2,97.41,79.24,,66.93,-8158.08,0.0,0.65,1.33,0.05,,0.05,52.75
42389347160000,12.29,112.32,84.56,64.48,62.1,83.05,-7966.17,0.23,0.61,21.82,0.3,0.03,0.69,378.03
42389347270000,10.5,84.07,76.91,62.77,,79.19,-8104.06,0.07,0.76,1.11,2.82,,1.1,48.1
42389347480000,10.4,145.19,112.63,81.42,72.87,116.9,-7659.54,0.02,12.93,0.11,0.04,0.08,0.55,4.15
42389347650000,10.29,98.88,76.24,64.72,60.95,77.36,-8086.86,0.01,1.47,3.41,0.06,0.59,0.56,31.72
42389347690000,10.11,108.94,109.95,75.33,71.65,100.54,-7309.19,0.02,1.18,3.66,0.15,0.12,4.39,46.28
42389347700000,12.64,109.86,95.01,85.93,,99.64,-7991.83,0.04,4.34,0.85,2.82,,4.12,48.9
42389347710000,12.74,108.39,94.77,85.57,,99.47,-7989.26,0.02,5.12,0.2,3.3,,4.7,33.42
42389347730000,9.67,92.98,99.0,84.7,86.04,99.45,-6713.1,0.0,182.02,3.16,11.01,6.56,14.5,148.92
42389347760000,12.87,107.07,94.64,85.41,,99.55,-7986.02,0.01,5.67,0.16,3.58,,5.0,21.41
42389347770000,12.96,106.23,94.95,85.37,,99.68,-7983.78,0.0,5.36,0.34,3.38,,4.65,9.3
42389347780000,12.27,115.06,93.69,87.29,,100.4,-7998.44,0.13,1.64,8.01,1.06,,1.9,116.19
42389347790000,10.45,97.75,76.86,65.57,61.5,77.16,-8088.42,0.01,1.51,1.82,0.12,0.57,0.58,22.24
42389347830000,9.36,76.2,85.04,59.77,,83.46,-7977.75,0.09,5.09,0.28,1.5,,3.21,355.47
42389347940000,9.41,96.75,113.43,72.22,66.19,101.66,-7104.74,0.01,0.03,0.81,2.92,0.38,0.77,296.74
42389347960000,10.11,82.63,86.99,62.43,66.16,81.44,-8007.66,0.03,22.08,0.59,0.33,0.01,0.29,171.52
42389348100100,9.5,61.81,143.19,115.6,104.38,144.62,-7111.91,0.0,1.09,0.95,0.04,1.05,0.14,118.84
42389348180000,9.66,112.09,95.01,74.02,69.14,91.18,-6754.3,0.0,0.41,0.04,0.21,0.44,0.15,34.13
42389348190000,9.65,112.11,95.25,73.21,67.84,90.85,-6765.49,0.0,0.51,0.04,0.07,0.11,0.11,55.37
42389348200000,10.01,102.22,95.51,72.96,67.17,90.48,-6725.83,0.01,11.72,0.05,0.01,0.02,0.0,98.85
42389348310000,9.31,110.55,118.74,90.69,86.73,126.29,-7667.19,0.0,4.9,0.55,1.04,2.02,0.16,18.03
42389348350000,8.9,105.11,108.21,79.6,79.67,125.18,-7488.21,0.0,3.76,2.3,0.11,0.68,0.88,20.28
42389348360000,8.84,103.36,107.13,80.55,80.92,126.6,-7497.9,0.0,10.2,6.09,1.06,2.15,2.16,57.78
42389348390000,9.07,105.9,112.91,75.1,75.99,118.51,-7429.38,0.03,10.79,2.66,0.02,1.08,4.13,103.63
42389348400000,8.63,94.66,103.78,76.01,79.89,125.2,-7464.88,0.01,9.25,12.04,1.08,1.4,3.16,114.24
42389348530000,11.47,91.71,99.08,78.61,,69.01,-8110.61,0.0,0.66,0.24,0.09,,0.72,569.3
42389348680000,8.89,104.81,108.96,81.89,81.45,127.11,-7506.03,0.0,7.99,3.25,0.97,1.88,1.5,42.29
42389348690000,8.86,103.78,107.81,81.41,81.35,127.01,-7503.13,0.0,7.89,4.05,0.94,1.75,1.53,42.09
42389348770000,9.08,146.95,84.66,58.56,60.77,66.34,-7476.43,0.0,0.05,0.87,0.34,2.03,2.99,81.67
42389348790000,9.96,101.44,77.43,63.09,59.89,77.89,-8081.81,0.03,1.06,3.14,0.01,0.89,0.46,25.22
42389348800000,10.09,100.39,76.34,63.83,60.6,77.76,-8083.33,0.01,1.04,4.15,0.05,0.69,0.44,30.35
42389349010000,9.79,123.51,115.17,77.5,73.11,113.23,-7417.25,0.04,14.0,0.2,0.11,0.4,3.94,158.29
42389349140000,11.4,88.31,78.84,72.79,,82.52,-8087.64,0.04,3.17,2.12,1.01,,0.77,281.29
42389349150000,11.34,87.88,79.14,72.36,,82.48,-8086.61,0.04,2.21,1.13,1.71,,0.4,378.6
42389349190000,9.96,103.39,78.79,62.86,58.82,78.23,-8077.15,0.02,1.07,1.68,0.01,1.15,0.43,12.6
42389349300000,8.82,57.73,82.88,41.89,42.18,73.96,-5991.22,0.0,21.26,0.03,2.59,2.26,0.28,87.93
42389349340000,11.82,60.82,108.12,96.25,93.81,107.74,-8016.15,0.04,1.09,0.26,9.53,0.58,0.26,359.94
42389349370000,10.1,123.24,96.88,89.52,83.99,97.72,-7871.08,0.0,43.98,0.79,0.26,0.03,0.37,126.61
42389349470000,10.18,109.72,79.47,59.45,58.33,77.42,-8076.52,0.0,10.68,6.54,1.33,1.33,0.07,9.38
42389349480000,10.11,104.53,78.46,58.96,59.18,77.36,-8090.02,0.01,7.71,1.05,3.53,0.54,0.27,12.34
42389349490000,10.07,102.83,79.2,58.35,59.71,77.39,-8096.15,0.02,6.26,1.26,4.22,0.4,0.46,43.54
42389349500000,10.04,101.66,79.29,57.96,60.33,77.59,-8101.28,0.02,4.17,2.08,3.66,0.34,0.59,134.42
42389349510000,10.01,99.85,79.58,57.5,60.81,77.8,-8100.85,0.03,3.1,3.62,3.9,0.24,0.65,201.31
42389349520000,9.97,97.88,79.67,56.76,61.38,78.33,-8099.8,0.05,2.27,3.88,4.93,0.15,0.73,223.13
42389349580000,10.21,65.88,117.51,71.68,94.06,114.81,-7865.3,0.03,2.4,0.24,5.11,0.18,0.16,144.16
42389349610000,11.6,60.59,99.15,90.92,81.77,95.89,-8279.12,0.27,4.25,0.01,11.2,0.63,1.87,10.22
42389349650000,12.19,56.28,111.71,97.21,97.78,111.24,-7969.54,0.05,0.1,0.45,7.46,0.09,0.15,95.8
42389349680000,10.79,83.87,75.98,65.68,,78.89,-8104.58,0.05,0.8,0.47,2.06,,1.51,31.14
42389349690000,10.92,83.91,75.36,67.63,,78.11,-8102.13,0.04,0.89,0.63,1.01,,2.22,38.93
42389349710000,9.99,81.67,108.05,74.42,71.53,93.9,-7231.05,0.01,3.62,8.65,0.31,0.09,6.81,10.52
42389349750000,9.88,73.2,93.43,65.89,67.8,85.39,-7933.3,0.02,15.08,2.3,1.24,0.01,2.55,117.94
42389349770100,-14.89,189.37,85.08,63.77,58.08,78.0,-7393.98,4.67,118.92,7.15,3.51,0.18,2.12,768.04
42389349840000,10.73,77.87,70.7,54.95,57.78,88.62,-6436.58,0.06,2.94,0.88,8.18,3.11,0.01,199.17
42389349850000,10.54,73.2,79.09,55.73,55.78,86.1,-6319.3,0.0,0.13,2.76,2.17,0.52,0.01,1.43
42389349990000,11.54,88.76,78.26,73.53,,82.5,-8088.1,0.03,3.69,3.36,0.47,,1.18,130.05
42389350000000,11.65,89.3,78.16,74.17,,82.57,-8082.8,0.02,5.04,5.12,0.25,,1.85,129.83
42389350010000,11.78,89.92,78.65,74.77,,82.71,-8077.45,0.01,6.15,9.39,0.2,,2.46,115.2
42389350090000,11.06,94.12,98.72,91.71,81.45,85.25,-8053.57,0.0,9.48,0.55,0.52,0.21,1.85,277.45
42389350390000,10.5,141.66,82.86,67.27,60.55,82.22,-7475.98,0.24,31.44,0.31,9.24,0.0,0.6,1.15
42389350460000,-30.34,251.48,86.76,69.73,62.36,79.03,-7445.9,65.42,191.86,16.46,4.41,0.32,0.28,504.41
42389350490000,12.19,57.66,110.71,97.4,96.88,110.2,-7982.35,0.08,0.16,0.48,14.25,0.19,0.25,188.82
42389350540000,9.11,149.27,84.75,58.25,60.98,66.4,-7455.56,0.0,0.03,0.95,0.68,2.21,3.29,75.01
42389350560000,11.08,83.84,74.36,70.33,,76.35,-8096.11,0.02,1.11,1.3,1.19,,2.93,53.5
42389350570000,11.32,83.22,73.45,72.54,,75.55,-8094.21,0.03,1.91,1.17,0.26,,4.3,53.5
42389350580100,10.11,98.16,76.32,68.98,62.58,83.27,-7280.56,0.16,24.78,0.47,8.16,0.01,0.84,3191.14
42389350670000,8.1,160.58,66.09,35.44,55.14,61.7,-7334.34,0.0,1.43,3.53,21.15,0.03,0.94,863.26
42389350740100,9.62,59.86,102.25,78.67,83.44,93.25,-8285.44,0.04,0.63,0.0,3.17,0.25,0.54,1.72
42389350820100,10.33,73.7,85.66,57.65,55.53,85.93,-6305.56,0.0,1.57,6.79,2.07,0.14,0.3,161.61
42389350880100,0.02,207.6,95.2,68.01,60.78,72.58,-7562.45,3.45,37.82,10.96,0.57,0.01,0.4,382.06
42389350890000,10.92,67.89,102.68,90.31,83.98,92.63,-8194.22,0.09,9.34,0.03,9.9,0.05,0.21,498.51
42389350920000,10.98,67.03,103.08,89.62,86.0,96.41,-8173.72,0.51,5.5,0.0,43.05,0.2,0.11,298.19
42389350980000,11.17,121.97,83.67,64.74,57.75,77.83,-7944.87,0.0,28.02,29.56,1.94,0.59,0.83,360.77
42389350990100,12.53,192.71,88.27,56.47,67.3,77.42,-7515.97,2.11,269.88,8.54,4.34,0.16,0.52,600.67
42389351020000,9.56,69.34,124.6,95.65,89.99,121.02,-7903.06,0.03,34.85,0.71,2.44,1.91,1.11,609.84
42389351040100,9.47,71.53,109.66,89.11,81.69,109.43,-6316.79,0.02,0.5,0.98,11.36,1.34,1.45,89.03
42389351050000,6.51,164.73,74.58,58.08,55.69,65.33,-7466.43,0.32,0.62,4.79,9.15,0.73,0.21,612.32
42389351130000,8.76,86.25,94.86,86.36,85.33,132.25,-7518.79,0.02,9.94,4.99,17.19,1.41,3.0,203.82
42389351140000,8.7,81.85,92.8,84.54,83.96,131.59,-7505.89,0.03,9.91,9.11,27.56,1.13,3.96,227.83
42389351150000,9.86,64.42,142.45,111.8,107.63,136.43,-7796.51,0.0,0.28,0.16,0.01,0.36,0.01,71.03
42389351270000,11.46,160.95,99.2,79.78,69.63,96.59,-7304.43,0.03,41.45,22.03,0.65,0.66,8.03,768.27
42389351320000,10.11,140.21,82.72,63.66,60.63,83.75,-7516.86,0.06,41.93,1.68,24.82,0.82,1.26,12.18
42389351330000,9.92,195.65,110.02,62.43,61.12,80.75,-7624.09,0.16,342.15,13.59,3.93,0.94,0.34,1107.55
42389351340000,11.66,50.82,108.44,103.61,100.96,114.16,-8035.31,0.09,5.28,4.92,1.69,1.2,1.51,269.47
42389351420000,9.77,48.28,119.35,96.49,94.06,122.21,-8007.42,0.11,4.47,12.58,1.91,5.2,3.21,419.58
42389351440000,9.72,72.65,123.47,89.96,89.99,119.42,-7891.23,0.03,34.4,0.59,13.35,3.87,1.17,295.84
42389351460000,7.76,52.68,141.22,78.74,71.23,129.9,-6520.49,0.02,0.03,0.04,15.23,9.12,0.11,205.18
42389351530000,8.9,102.7,109.85,75.96,77.7,121.96,-7451.47,0.05,37.98,21.56,0.69,4.6,12.48,315.21
42389351540000,8.93,104.2,109.68,76.71,77.84,122.4,-7459.14,0.05,39.8,22.89,0.86,5.05,11.9,284.92
42389351550000,8.95,105.55,109.4,77.51,78.01,122.85,-7467.22,0.05,38.69,23.06,0.93,5.22,10.55,231.7
42389351560000,8.98,107.1,109.58,78.28,78.08,123.15,-7474.49,0.05,40.45,21.74,1.02,5.72,10.0,200.71
42389351640000,9.38,83.0,129.3,100.21,84.59,135.96,-7659.38,0.0,0.06,5.16,0.24,0.17,0.0,48.09
42389351660000,12.04,179.83,92.38,80.35,69.38,97.12,-7239.39,0.01,1.88,9.42,3.03,0.44,1.0,1503.8
42389351760000,11.23,89.58,133.71,122.47,110.11,133.89,-7050.1,0.01,3.64,0.87,0.58,1.42,0.27,60.07
42389351930000,10.54,38.29,96.82,75.51,66.52,61.68,-7934.67,0.01,8.47,0.18,0.91,1.74,4.74,405.87
42389351980000,9.88,64.59,142.76,112.32,107.79,136.8,-7777.17,0.0,0.79,0.4,0.03,0.93,0.04,212.08
42389352010000,8.46,86.77,88.81,42.91,,82.71,-8091.5,0.19,2.62,8.28,27.5,,2.89,0.96
42389352017000,8.33,85.59,87.2,41.23,,83.71,-8091.68,0.04,1.18,3.45,5.27,,0.7,0.16
42389352040100,10.5,104.51,85.32,72.41,65.83,82.03,-7252.11,0.02,1.35,30.47,5.56,4.89,7.16,912.03
42389352070000,9.42,78.68,111.61,90.28,76.53,109.26,-6181.66,0.03,0.27,1.82,15.99,0.61,3.54,194.04
42389352110000,9.74,61.44,144.56,112.34,110.96,137.07,-7745.62,0.0,0.76,0.21,0.02,0.94,0.04,239.21
42389352110100,9.73,61.39,144.55,112.25,110.97,136.99,-7749.68,0.0,0.77,0.23,0.02,0.98,0.04,242.01
42389352320000,10.49,120.95,78.51,65.14,58.04,81.8,-7993.15,0.0,3.17,0.94,0.55,1.14,1.13,15.77
42389352410100,12.13,78.88,91.69,72.25,,80.67,-8010.14,0.12,132.22,3.85,13.93,,54.58,70.63
42389352540000,11.64,66.89,104.21,97.13,88.73,101.67,-8086.67,0.13,4.94,0.04,15.28,0.66,0.12,281.91
42389352600000,10.67,63.66,100.42,84.75,84.01,97.6,-8281.57,0.34,6.24,0.05,12.51,0.91,2.53,200.63
42389352650000,11.17,150.57,102.08,67.13,60.01,77.48,-7749.36,0.26,15.21,32.73,0.37,0.11,0.07,273.61
42389352720000,8.78,97.73,109.1,74.52,77.77,121.57,-7437.5,0.04,30.5,24.44,0.82,3.81,12.38,403.17
42389352860100,11.55,108.7,86.86,55.5,68.0,72.88,-7631.94,0.19,19.3,25.67,25.05,10.49,0.08,573.8
42389353000000,11.08,110.73,75.99,74.13,70.18,92.0,-8039.18,0.0,1.01,0.29,0.16,0.24,0.05,1.13
42389353000100,11.12,110.06,75.5,74.47,70.6,91.79,-8039.11,0.0,5.18,0.37,0.27,0.52,0.45,0.89
42389353020000,8.86,92.98,105.91,88.27,86.87,131.93,-7534.71,0.0,9.81,13.7,8.58,1.99,1.95,194.66
42389353390000,8.83,91.39,102.69,87.81,86.52,132.01,-7530.93,0.01,9.63,9.42,10.09,1.8,2.12,190.71
42389353430000,9.38,110.88,117.14,90.27,85.24,124.89,-7694.61,0.0,6.75,1.0,1.85,2.21,0.15,30.57
42389353510000,6.83,187.56,104.12,32.62,49.59,83.7,-7260.15,0.69,4.67,3.74,13.35,26.47,17.46,22.62
42389353530000,10.18,70.92,140.58,114.33,104.06,137.1,-7734.21,0.0,1.97,0.54,0.13,1.6,0.13,34.18
42389353550000,10.58,74.91,139.95,119.93,106.06,138.3,-7453.72,0.01,1.35,0.09,0.09,0.0,0.39,39.21
42389353690000,9.55,122.97,116.9,79.36,74.14,118.5,-7464.72,0.11,51.67,1.98,0.05,3.45,10.89,281.62
42389353710000,9.56,124.2,117.65,79.88,74.15,118.97,-7470.93,0.11,50.44,1.62,0.06,3.5,9.93,242.18
42389353750000,9.53,78.97,120.71,100.77,83.89,133.89,-7540.59,0.0,1.47,4.0,0.3,0.02,0.0,6.36
42389353820000,10.2,90.48,81.28,65.68,,82.62,-8040.86,0.03,0.25,0.15,0.23,,0.25,77.02
42389353830000,10.16,119.82,106.29,72.79,69.16,79.08,-7935.82,0.01,425.31,7.53,0.2,1.63,42.96,330.19
42389353840000,12.2,78.67,92.9,74.33,,81.2,-7998.85,0.18,127.43,8.65,6.84,,52.15,77.72
42389353880000,12.11,77.01,97.1,77.0,,80.93,-7989.76,0.18,123.77,8.8,5.85,,51.8,92.28
42389353940000,10.23,67.99,110.02,99.19,90.91,112.72,-6577.54,0.01,1.21,0.46,2.88,0.01,0.48,1.01
42389354160000,9.69,109.42,90.02,75.36,72.53,93.47,-7012.1,0.04,68.12,2.32,1.59,3.14,5.95,4594.53
42389354360000,8.39,162.56,89.94,47.32,45.26,89.58,-7465.27,2.19,42.36,18.37,38.8,131.03,4.45,1815.48
42389354380000,9.69,84.41,81.33,52.49,,82.5,-8101.51,0.24,0.43,2.71,25.0,,0.24,27.48
42389354390000,11.56,100.92,81.72,69.68,58.42,86.19,-7699.51,0.15,2.66,0.18,1.47,17.72,0.82,28.04
42389354420000,11.48,101.73,81.58,69.59,58.26,86.01,-7694.28,0.11,2.04,0.03,1.58,18.31,0.83,34.85
42389354430000,11.41,102.15,81.46,69.4,57.49,85.81,-7688.39,0.11,2.73,0.07,1.96,19.77,0.81,53.74
42389354470000,9.97,78.48,108.09,74.38,71.56,93.42,-7216.96,0.01,5.7,8.53,0.33,0.06,6.67,15.2
42389354640000,9.96,72.55,138.0,109.27,98.43,135.87,-7717.29,0.0,0.44,0.08,0.17,0.73,0.0,790.0
42389354660000,13.87,133.55,95.23,54.32,64.08,73.68,-7607.85,0.63,214.94,0.24,0.74,3.59,1.59,407.23
42389354810000,11.7,68.09,103.44,95.61,87.08,98.89,-8128.0,0.32,8.81,0.01,37.42,0.47,0.03,462.49
42389354850000,8.74,76.47,121.05,83.57,81.96,129.86,-7473.78,0.08,10.33,4.81,53.39,0.91,5.97,347.0
42389354880000,10.72,86.59,94.11,61.01,54.74,71.11,-7702.4,0.04,18.39,12.51,10.73,0.61,0.75,279.38
42389354880100,10.76,90.28,88.49,66.62,54.82,73.27,-7726.25,0.02,37.85,24.21,39.49,0.8,13.85,685.6
42389354890000,7.56,61.83,140.21,66.95,63.23,130.26,-6686.03,0.03,4.65,8.34,9.01,22.82,1.69,67.8
42389354940000,9.71,70.2,123.8,92.58,90.39,119.88,-7901.32,0.05,40.53,0.95,8.75,3.84,1.44,498.89
42389355050000,10.45,120.54,86.9,75.76,56.58,85.95,-7788.64,0.04,427.79,64.99,5.84,20.45,28.71,3097.55
42389355060100,10.72,108.24,98.48,93.03,83.7,93.58,-7984.51,0.0,128.58,2.45,2.16,0.16,2.42,768.97
42389355260000,9.91,47.2,119.45,96.86,94.3,121.02,-7983.08,0.13,2.63,9.6,2.11,4.24,2.5,200.66
42389355270000,9.82,47.59,119.42,96.63,94.1,121.76,-7997.76,0.13,4.68,12.22,2.16,5.33,3.17,350.95
42389355330000,9.42,110.35,95.21,61.75,60.09,88.33,-7712.82,0.11,8.64,2.35,1.63,0.03,0.84,5.66
42389355390000,10.43,71.38,82.42,69.58,60.94,80.49,-7768.45,0.06,47.03,7.33,0.67,1.41,0.91,1546.09
42389355480000,9.31,83.77,90.32,67.77,64.5,78.64,-6947.26,0.03,241.94,32.05,9.11,6.8,7.22,5031.04
42389355480100,9.31,83.71,90.48,67.75,64.5,78.78,-6944.56,0.04,240.05,31.32,9.35,6.93,6.89,5210.29
42389355540100,9.22,66.39,89.5,66.7,63.21,86.04,-6884.26,0.04,75.02,3.91,8.05,3.59,2.97,1105.17
42389355590000,-1.17,159.26,73.81,60.68,59.41,83.8,-7048.86,12.53,1.38,3.45,0.33,0.12,0.23,2716.09
42389355690100,11.23,91.72,84.77,81.97,42.03,94.69,-7034.76,0.01,0.04,12.99,0.88,27.28,0.21,1899.74
