UWI,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD
42475369250100,11.09,81.07,84.76,75.4,76.43,74.88,-8166.54,0.0,17.43,1.02,0.25,0.39,16.89,369.73
42475369520000,8.43,132.16,78.94,58.39,70.9,93.59,-7948.9,0.33,67.52,1.74,23.38,0.78,1.22,579.48
42475369700000,9.92,131.3,81.11,66.54,69.69,94.87,-7935.25,0.08,57.27,4.35,9.7,1.27,2.25,290.33
42475370140000,12.8,106.51,90.48,85.55,,84.04,-8319.0,0.02,0.04,0.56,0.64,,0.35,4.05
42475370160000,11.26,100.18,78.32,75.74,72.77,87.83,-8022.69,0.0,51.64,0.42,0.14,1.11,15.03,286.36
42475370210000,13.4,59.06,88.52,92.35,80.14,85.35,-8071.92,0.01,0.34,0.02,0.39,0.17,0.15,331.96
42475370290000,14.04,62.44,100.89,102.32,88.09,98.11,-8441.31,0.02,0.24,0.26,2.56,0.31,0.13,265.29
42475370490000,12.37,55.85,99.25,95.18,85.99,88.82,-8456.91,0.16,2.32,0.21,0.24,0.24,27.52,676.6
42475370830100,14.25,49.6,101.91,100.13,84.07,97.98,-8349.22,0.01,0.7,0.64,0.02,0.33,0.03,1255.45
42475371860000,11.62,20.0,89.77,78.37,,20.19,-8446.41,0.0,10.85,0.13,0.79,,39.01,363.56
42475372100000,12.22,108.32,85.81,82.41,,81.14,-8295.21,0.03,1.25,3.64,1.0,,0.54,67.66
42475373290000,12.66,105.94,90.44,84.75,,83.89,-8327.66,0.04,0.02,0.54,1.16,,0.35,6.26
