Unformatted_API_UWI_14,ENVOperator,FirstProdDate,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,WellName,First12MonthOil_BBL,First12MonthGas_MCF
42389355270000,COTERRA ENERGY,5/1/2017,9570,2011.8276,1930.4113,43,1580.799584,1209.384426,NORTH ELEPHANT 2 UNIT U 06H,407484.56,916069.9
42389360090000,COTERRA ENERGY,8/1/2018,9509,1976.7643,1744.3142,49,986.7335558,986.7335558,SNOWSHOE STATE 57-10 UNIT 7H,256747.69,1159341.8
42389338320000,BP,10/1/2013,4811,1224.0083,1179.5317,49,,,SIGLER STATE 57-T2-22 1H,157549,553278
42389341760000,CONOCOPHILLIPS,9/1/2014,7740,1748.8379,1965.1523,46,,,TYCOON D 701H,323173.06,768890.7
42389350560000,OCCIDENTAL,2/1/2016,4397,,1431.0471,43,841.3955627,837.3536606,VANGUARD 3 14H,91375.18,236973.39
42389346810000,OCCIDENTAL,3/1/2019,7459,2493.194,2277.1416,50,,,WINGHEAD STATE 57-2-48 UNIT B 3H,150082,583512
42389351150000,BTA OIL PRODUCERS,9/1/2016,4267,,2057.4883,50,814.5219458,814.5219458,RIVERSIDE 21601 36 1H,212692,521984
42389356920000,PDC ENERGY,6/1/2017,3962,2647.3157,2999.25,47,,,LOST SADDLE 46 1H,154411,1371008
42389360030000,CHEVRON,6/1/2018,10172,2436.9526,2241.7236,46,813.7305212,813.7305212,BILLY THE KID 31-24 UNIT A 9H,153981.17,442406.72
42389360230000,PDC ENERGY,2/1/2018,7372,2463.3237,2374.4185,53,,,GREENWICH SW 3142 A 1H,152436,848141
42389366530000,CENTENNIAL RESOURCE DEVELOPMENT,5/1/2018,9980,,1942.4998,46,820.1576355,820.1576355,NINJA 4-50 49 3H,225595,1556033
42389371380000,COTERRA ENERGY,11/1/2018,6138,1828.2925,1933.2317,44,332.1002831,314.8331831,SANDLOT STATE U 11H,130723.7,768383.56
42389356010000,DIAMONDBACK,9/1/2017,8162,1870.4934,2151.3774,46,808.9453288,792.8002979,ALAMEDA STATE UNIT 54-8-1 604H,116035.38,1029771.9
42389354940000,COTERRA ENERGY,4/1/2017,10097,1778.4044,1806.8112,50,2588.104371,2588.104371,SOUTH GOAT 2 UNIT U 01H,280780.94,846770.3
42389374650000,EOG,9/1/2019,9864,2546.1472,1928.3723,48,922.846686,922.846686,STATE CORREA UNIT 1H,274138,1113980
42389375770000,"MAPLE ENERGY HOLDINGS, LLC",2/1/2019,8517,2350.8735,2786.2456,48,993.9474389,993.9474389,RUNAWAY GHOST 23-2 2H,65673,220846
42389376650000,CHEVRON,4/1/2019,8766,2506.0383,1933.02,46,828.4140524,828.4140524,SKY KING 47-36 UNIT B 6H,287752.5,592802.6
42389356470000,OCCIDENTAL,5/1/2019,4416,2501.4434,2278.3054,48,1118.666417,1118.666417,CEDAR MOUNTAIN 54-4-15 1H,114854,448927
42389353530000,OCCIDENTAL,5/1/2017,9950,2491.9324,2396.4216,49,,,SASQUATCH STATE 56-2-38 UNIT 1H,58774,3356
