,First12MonthOil_BBL,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD,gor scf/stb
139,123925.0,4776.0,1507.1189,1346.9391,44.0,961.7667118,961.7667118,9.66,85.91,79.93,51.81,64.8,82.19,-8091.76,0.13,0.25,1.61,14.38,0.11,0.09,2.76,2197.5630421625983
140,64081.277,4562.0,1355.076,1555.021,46.0,1404.609825,1404.609825,10.06,107.83,76.37,65.69,63.17,82.17,-8066.89,0.03,3.38,0.33,1.81,0.76,2.13,5.48,2798.1825330977717
141,68799.01,4016.0,1251.245,1556.5414,44.0,2600.0,2600.0,11.18,106.53,84.75,70.48,71.39,82.11,-7940.01,0.0,33.71,0.56,0.62,0.0,0.22,6.27,1969.7498554121637
142,129548.0,4167.0,2530.3025,2397.8174,46.0,2600.0,2600.0,11.06,94.12,98.72,91.71,81.45,85.25,-8053.57,0.0,9.48,0.55,0.52,0.21,1.85,277.45,2945.33300398308
143,139843.0,9602.0,2004.058,2157.7786,48.0,2600.0,2600.0,1.71,62.41,105.4,10.12,96.29,103.61,-8121.18,0.17,0.12,0.29,8.62,1.46,0.49,1715.08,5655.6495498523345
144,240347.7,10052.0,1799.4789,1992.7771,41.0,666.6001961,666.6001961,11.07,55.02,116.91,91.56,97.13,115.19,-7935.49,0.26,4.94,4.98,11.8,1.81,1.53,223.32,5044.069071599187
145,60897.062,4791.0,2506.149,2641.837,44.0,780.89679,780.89679,9.48,86.76,80.52,49.06,63.7,80.35,-8093.56,0.22,0.09,1.48,25.81,0.02,2.26,0.81,1629.0912359614326
146,92494.0,7179.0,2532.6116,2875.8481,46.0,2210.847019,2210.847019,11.07,55.56,100.69,67.86,,58.0,-8015.4,0.0,1.86,9.45,4.97,,22.49,22.17,5891.538910632041
147,180960.0,8348.0,2518.5762,2323.73,47.0,1631.333811,1064.186631,11.19,85.3,101.33,96.02,84.06,93.94,-8080.2,0.02,30.92,0.72,1.11,0.35,3.2,199.37,3858.9412024756853
148,83915.0,4302.0,2076.2974,2157.0618,51.0,2600.0,2600.0,10.54,73.2,79.09,55.73,55.78,86.1,-6319.3,0.0,0.13,2.76,2.17,0.52,0.01,1.43,9906.655544300782
149,69904.0,3757.0,2426.2651,2108.5298,51.0,839.3042125,780.709159,9.42,75.61,120.74,95.42,81.3,130.16,-7475.88,0.01,0.31,0.42,2.14,0.05,0.06,3.66,5704.866674296178
150,140995.0,10284.0,2175.4072,2563.9631,46.0,1793.213549,1793.213549,9.74,74.86,93.38,66.65,58.78,92.89,-6835.0,0.03,116.03,0.15,1.16,2.45,1.08,391.89,3962.6440653923896
151,129474.62,7927.0,,,47.0,823.6499609,818.5489045,11.18,83.63,95.39,87.75,77.98,75.62,-8026.0,0.0,9.41,6.64,2.63,1.78,10.48,2598.06,3957.9092798264246
152,,2281.15,,,,2600.0,2600.0,11.39,92.4,131.09,121.92,109.14,131.9,-7046.09,0.0,0.64,0.96,0.35,0.76,0.42,828.31,
153,7257.0,4200.0,,,50.0,2600.0,2600.0,8.51,,75.83,20.67,,,-4408.19,0.01,,0.43,0.02,,,1256.74,35806.80722061458
154,,,,,,2600.0,2600.0,9.6,97.64,93.43,66.36,59.79,90.67,-6804.05,0.05,540.4,0.2,2.31,3.55,3.0,1593.31,
155,103630.0,4808.0,1591.3353,1331.9364,52.0,2600.0,2600.0,10.02,102.47,95.13,73.24,67.45,90.66,-6708.83,0.01,11.88,0.07,0.01,0.01,0.0,148.38,4509.852359355399
156,44257.0,6523.0,2564.0518,2362.3083,49.0,2600.0,2600.0,9.53,78.97,120.71,100.77,83.89,133.89,-7540.59,0.0,1.47,4.0,0.3,0.02,0.0,6.36,3607.158189664912
157,92486.0,4314.0,2034.9182,1939.8275,50.0,2600.0,2600.0,9.61,84.52,122.24,87.05,75.2,117.75,-7330.19,0.01,0.02,0.91,2.77,0.39,0.31,2.38,4700.214086456328
158,225905.0,8209.0,2439.4934,2335.5408,48.0,757.7412265,750.8548967,9.36,84.27,118.45,71.02,71.64,102.67,-7201.91,0.03,1.83,6.86,0.68,0.0,5.73,16.88,4900.9760740134125
159,91954.0,9759.0,2044.1857,2419.5925,48.0,2600.0,2600.0,6.55,168.38,72.25,59.21,60.16,81.85,-6967.6,2.4,7.91,0.25,10.58,0.56,5.24,5442.41,3972.5623681405923
160,125870.0,7404.0,2305.7314,1977.7269,50.0,773.6264123,770.1577661,10.05,59.99,97.67,74.78,69.92,83.44,-7185.05,0.0,2.16,11.43,0.62,0.87,6.54,5.77,6346.683085723365
161,57630.0,4448.0,2697.2031,2852.1553,48.0,566.4080703,561.0313996,10.68,129.03,90.37,75.59,50.68,94.61,-7060.36,0.0,9.51,0.28,2.43,5.8,1.31,267.38,6090.786048932848
162,197352.0,10118.0,2537.8628,2315.6765,45.0,2600.0,2600.0,11.26,12.97,86.07,75.18,,7.11,-8405.18,0.0,11.59,2.56,0.26,,22.79,1628.02,1673.8619319794072
163,129657.0,9865.0,2044.1495,2414.7144,48.0,2600.0,2600.0,10.4,59.05,86.44,71.88,64.61,84.22,-7653.25,0.0,78.29,0.27,1.28,1.48,1.37,880.67,10879.011545847892
164,,5124.0,2485.0374,2606.9473,49.0,2400.333151,2400.333151,8.98,76.07,135.41,94.14,84.78,134.32,-7884.39,0.0,2.74,0.18,0.59,0.92,0.02,52.9,
165,199265.0,8400.0,2410.8215,2962.07,46.0,2600.0,2600.0,10.16,119.82,106.29,72.79,69.16,79.08,-7935.82,0.01,425.31,7.53,0.2,1.63,42.96,330.19,5126.705643238904
166,233148.0,10094.0,2344.9985,1932.0359,50.0,2600.0,2600.0,8.88,40.39,71.79,49.91,,50.09,-5285.56,0.07,7.68,9.39,8.04,,0.83,124.76,4562.565409096368
167,137768.62,4286.0,2491.8801,2452.4248,44.0,920.1348467,875.1189144,12.29,112.32,84.56,64.48,62.1,83.05,-7966.17,0.23,0.61,21.82,0.3,0.03,0.69,378.03,2849.7999036355304
168,90819.0,6971.0,2518.8193,2336.7563,49.0,2600.0,2600.0,9.02,88.83,126.31,95.74,88.24,134.17,-7647.51,0.0,0.52,1.24,0.22,1.18,0.09,781.87,4016.8026514275643
169,232757.0,9057.0,2570.442,2934.3472,46.0,2600.0,2600.0,11.1,50.55,79.53,76.73,24.18,91.09,-6987.74,0.04,10.08,32.34,3.35,19.62,0.65,1042.1,3935.6582186572264
